category,term,description,number_of_genes,number_of_genes_in_background,p_value,fdr,preferredNames
Process,GO:0044249,Cellular biosynthetic process,37,2362,2.54e-07,1.12e-05,"HSD17B1,CYP27B1,MAPK14,CYP2C9,RORA,MAPK3,POLB,CDK2,SLC6A3,SRD5A1,PPARG,HMGCR,CYP11B1,GLUL,PPARD,NOS2,CACNA1H,HSP90AA1,PTGES,PTGS1,PTGS2,CYP17A1,ALOX5,AR,HSD17B3,PIK3CD,POLA1,AKR1C3,JAK2,CYP19A1,TBXAS1,ESR1,PIK3CG,NR1H4,SRD5A2,NR1H3,CYP2D6"
Process,GO:0051924,Regulation of calcium ion transport,12,266,2.55e-07,1.12e-05,"ADRA2A,ACE,F2,PDE4D,DRD2,PTGS2,ABL1,DRD3,G6PD,PIK3CG,JAK3,ADORA2A"
Process,GO:1903131,Mononuclear cell differentiation,13,321,2.59e-07,1.14e-05,"FLT3,RORA,PPARG,ADAM17,PTPN2,PRKDC,RORC,PDE2A,ABL1,PIK3CD,IL6,NTRK1,JAK3"
Process,GO:0043065,Positive regulation of apoptotic process,16,507,2.69e-07,1.18e-05,"NR3C1,CTSD,PPARG,ACE,PTPN2,PRKDC,BACE1,PTGS2,ABL1,PIK3CD,AKR1C3,JAK2,MAPK8,IL6,TOP2A,ADORA2A"
Process,GO:0030183,B cell differentiation,9,129,2.79e-07,1.22e-05,"FLT3,ADAM17,PTPN2,PRKDC,ABL1,PIK3CD,IL6,NTRK1,JAK3"
Process,GO:0046683,Response to organophosphorus,9,130,2.97e-07,1.29e-05,"SLC6A4,SLC6A3,SRD5A1,PDE2A,PDE4D,PDE3A,PTGS2,AKR1C1,PIK3CG"
Process,GO:0046890,Regulation of lipid biosynthetic process,10,172,2.95e-07,1.29e-05,"CYP27B1,NR3C1,SREBF2,PTGS2,AKR1C3,PPARA,HTR2A,NR1H4,NR1H3,NR1H2"
Process,GO:0007596,Blood coagulation,10,173,3.11e-07,1.34e-05,"MAPK14,ADRA2A,F2,PLG,PLAU,F10,IL6,ADRA2C,PIK3CG,ADORA2A"
Process,GO:0007611,Learning or memory,12,271,3.09e-07,1.34e-05,"MAPK1,SLC6A4,BCHE,EGFR,HMGCR,DRD2,PTGS2,ABL1,TACR2,DRD3,NTRK1,HTR2A"
Process,GO:0006869,Lipid transport,13,329,3.4e-07,1.46e-05,"FABP4,SIGMAR1,PPARG,NPC1L1,ACE,FABP1,PPARD,NOS2,DRD2,PTGS2,AKR1C1,DRD3,ABCB1"
Process,GO:0034762,Regulation of transmembrane transport,17,587,3.57e-07,1.53e-05,"MAPK14,CHRM3,KCNH2,ADRA2A,CA2,ACE,F2,CACNA1H,PDE4D,DRD2,ABL1,DRD3,G6PD,OPRM1,PIK3CG,ABCB1,PTPN11"
Process,GO:0034599,Cellular response to oxidative stress,11,224,3.7e-07,1.58e-05,"MAPK1,MAPK3,EGFR,SIGMAR1,FABP1,ABL1,AKR1C3,JAK2,G6PD,MAPK8,IL6"
Process,GO:0010565,Regulation of cellular ketone metabolic process,9,134,3.78e-07,1.61e-05,"PPARG,FABP1,PPARD,PTGS2,AKR1C3,PPARA,NR1H4,NR1H3,NR1H2"
Process,GO:0045598,Regulation of fat cell differentiation,9,135,4.01e-07,1.7e-05,"MAPK14,RORA,PPARG,PPARD,RORC,PTGS2,ALOX5,IL6,HTR2A"
Process,GO:0010469,Regulation of signaling receptor activity,10,179,4.18e-07,1.77e-05,"ADRA2A,PPARG,ADAM17,ESR2,PDE4D,PLAU,JAK2,PPARA,ADRA2C,OPRM1"
Process,GO:0002521,Leukocyte differentiation,14,396,4.29e-07,1.81e-05,"MAPK14,FLT3,RORA,PPARG,ADAM17,PTPN2,PRKDC,RORC,PDE2A,ABL1,PIK3CD,IL6,NTRK1,JAK3"
Process,GO:0019218,Regulation of steroid metabolic process,8,98,4.3e-07,1.81e-05,"CYP27B1,NR3C1,RORA,RORC,SREBF2,AKR1C3,EPHX2,NR1H4"
Process,GO:1903829,Positive regulation of protein localization,15,461,4.49e-07,1.88e-05,"MAPK14,EGFR,PPARG,ACHE,GLUL,F2,PPARD,HSP90AA1,SREBF2,PTGS2,JAK2,MAPK8,NR1H4,ADORA2A,NR1H2"
Process,GO:0006721,Terpenoid metabolic process,8,99,4.62e-07,1.93e-05,"CYP2C9,SRD5A1,PPARD,AKR1B10,CYP2C19,AKR1C3,AKR1C1,CYP2D6"
Process,GO:0034308,Primary alcohol metabolic process,8,99,4.62e-07,1.93e-05,"CYP11B1,HSD11B2,CACNA1H,AKR1B10,AKR1C3,AKR1C2,AKR1C1,CYP2D6"
Process,GO:0007188,Adenylate cyclase-modulating G protein-coupled receptor signaling pathway,11,232,5.16e-07,2.14e-05,"CHRM3,ADRA2A,PDE2A,PDE4D,DRD2,GABBR1,DRD3,ADRA2C,OPRM1,CHRM2,ADORA2A"
Process,GO:0010959,Regulation of metal ion transport,14,405,5.56e-07,2.3e-05,"KCNH2,ADRA2A,ACE,F2,PDE4D,DRD2,PTGS2,ABL1,DRD3,G6PD,PIK3CG,JAK3,HTR2A,ADORA2A"
Process,GO:0001516,Prostaglandin biosynthetic process,5,21,6.12e-07,2.52e-05,"PTGES,PTGS1,PTGS2,AKR1C3,TBXAS1"
Process,GO:0071363,Cellular response to growth factor stimulus,15,473,6.15e-07,2.52e-05,"MAPK14,NR3C1,FLT3,MAPK3,KDR,SRD5A1,EGFR,PPARG,PDE2A,PDE3A,ABL1,PIK3CD,FGFR1,NTRK1,PTPN11"
Process,GO:1901655,Cellular response to ketone,8,103,6.13e-07,2.52e-05,"NR3C1,SRD5A1,PPARG,ACE,AR,AKR1C3,AKR1C2,JAK2"
Process,GO:0007268,Chemical synaptic transmission,14,409,6.23e-07,2.54e-05,"MAPK1,SLC6A2,CHRM3,SLC6A3,ACHE,DRD2,GABBR1,RPS6KA3,DRD3,HCRTR1,OPRM1,CHRM2,HTR2A,ADORA2A"
Process,GO:0051384,Response to glucocorticoid,9,144,6.69e-07,2.71e-05,"NR3C1,FLT3,BCHE,SRD5A1,ACE,HSD11B2,PTGS2,JAK2,IL6"
Process,GO:0009889,Regulation of biosynthetic process,52,4205,7.15e-07,2.89e-05,"MAPK1,CYP27B1,MAPK14,NR3C1,ADORA3,FABP4,RORA,KCNH2,MAPK3,KDR,CDK2,EGFR,PPARG,F2,PPARD,PTPN2,PRKDC,MET,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,ESR2,NR3C2,SREBF2,DRD2,PTGS2,NR1I3,ABL1,ALOX5,AR,RPS6KA3,AKR1C3,JAK2,DRD3,MAPK8,PPARA,IL6,CHEK1,OPRM1,ESR1,TOP2A,NTRK1,JAK3,HTR2A,NR1H4,NR1H3,ADORA2A,NR1H2"
Process,GO:0051336,Regulation of hydrolase activity,22,1011,7.2e-07,2.9e-05,"CSNK2A1,CTSD,EGFR,PPARG,FABP1,MET,SERPINA6,CTSB,PDE3A,DRD2,PTGS2,ABL1,RPS6KA3,JAK2,MAPK8,FGFR1,ESR1,NTRK1,HTR2A,NR1H3,ADORA2A,NR1H2"
Process,GO:0001775,Cell activation,18,693,7.35e-07,2.96e-05,"MAPK14,FLT3,RORA,ADRA2A,F2,ADAM17,PTPN2,PRKDC,RORC,ABL1,PIK3CD,JAK2,IL6,ADRA2C,PIK3CG,NTRK1,JAK3,ADORA2A"
Process,GO:0071880,Adenylate cyclase-activating adrenergic receptor signaling pathway,5,22,7.47e-07,2.99e-05,"ADRA2A,PDE4D,DRD2,DRD3,ADRA2C"
Process,GO:0060336,Negative regulation of interferon-gamma-mediated signaling pathway,4,8,7.88e-07,3.14e-05,"PPARG,PTPN2,NR1H3,NR1H2"
Process,GO:0051588,Regulation of neurotransmitter transport,8,108,8.58e-07,3.4e-05,"ADRA2A,BACE1,DRD2,TACR2,DRD3,CHRM2,HTR2A,ADORA2A"
Process,GO:0001890,Placenta development,9,149,8.76e-07,3.46e-05,"MAPK1,CYP27B1,MAPK14,EGFR,PPARG,PLG,PPARD,CTSB,PTGS2"
Process,GO:0014066,Regulation of phosphatidylinositol 3-kinase signaling,8,109,9.16e-07,3.61e-05,"FLT3,KDR,EGFR,F2,PPARD,JAK2,FGFR1,NTRK1"
Process,GO:0015908,Fatty acid transport,7,75,1.01e-06,3.95e-05,"FABP4,PPARG,ACE,FABP1,PPARD,DRD2,DRD3"
Process,GO:0001959,Regulation of cytokine-mediated signaling pathway,9,152,1.03e-06,4.01e-05,"PPARG,ADAM17,PTPN2,PTPN1,IL6,NR1H4,NR1H3,PTPN11,NR1H2"
Process,GO:0009056,Catabolic process,32,1976,1.05e-06,4.08e-05,"STS,CYP27B1,CTSD,CYP2C9,MAPK3,BCHE,SLC6A3,SRD5A1,ACE,ACHE,GLUL,PPARD,NOS2,PDE2A,HSP90AA1,NR1I2,PDE4D,CTSB,AKR1B10,DRD2,HSD11B1,CYP2C19,ABL1,AKR1C3,DRD3,CYP19A1,PDE7A,EPHX2,HTR2A,SRD5A2,CYP2D6,CES2"
Process,GO:0008283,Cell population proliferation,18,712,1.07e-06,4.17e-05,"MAPK1,FLT3,RORA,KDR,EGFR,ACE,CDC25A,GLUL,PPARD,PTGES,DRD2,ABL1,AR,IL6,CHEK1,ESR1,PIK3CG,ABCB1"
Process,GO:0051966,"Regulation of synaptic transmission, glutamatergic",7,76,1.09e-06,4.25e-05,"GLUL,DRD2,PTGS2,DRD3,NTRK1,HTR2A,ADORA2A"
Process,GO:0006702,Androgen biosynthetic process,4,9,1.13e-06,4.39e-05,"SRD5A1,CYP17A1,HSD17B3,SRD5A2"
Process,GO:0019371,Cyclooxygenase pathway,4,9,1.13e-06,4.39e-05,"PTGS1,PTGS2,AKR1C3,TBXAS1"
Process,GO:0044597,Daunorubicin metabolic process,4,9,1.13e-06,4.39e-05,"AKR1B10,AKR1C3,AKR1C2,AKR1C1"
Process,GO:0006979,Response to oxidative stress,13,368,1.15e-06,4.4e-05,"MAPK1,MAPK3,EGFR,SIGMAR1,FABP1,PTGS1,PTGS2,ABL1,AKR1C3,JAK2,G6PD,MAPK8,IL6"
Process,GO:0042220,Response to cocaine,6,47,1.15e-06,4.42e-05,"SLC6A3,HSP90AA1,DRD2,DRD3,OPRM1,HTR2A"
Process,GO:0019538,Protein metabolic process,49,3910,1.26e-06,4.81e-05,"MAPK1,CSNK2A1,MAPK14,CTSD,FLT3,CDC25B,CHRM3,MAPK3,KDR,BCHE,CDK2,EGFR,NPC1L1,ACE,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,MET,BACE1,NOS2,HSP90AA1,DYRK1A,CTSB,TOP1,PTPN1,ABL1,PLAU,F10,PIK3CD,RPS6KA3,JAK2,MAPK8,PPARA,CHEK1,FGFR1,PIK3CG,NTRK1,TYK2,JAK3,HTR2A,NR1H4,PTPN11,PREP"
Process,GO:0035094,Response to nicotine,6,48,1.29e-06,4.92e-05,"MAPK1,SLC6A3,DRD2,GABBR1,PPARA,NTRK1"
Process,GO:0014068,Positive regulation of phosphatidylinositol 3-kinase signaling,7,79,1.39e-06,5.28e-05,"FLT3,KDR,F2,PPARD,JAK2,FGFR1,NTRK1"
Process,GO:0044598,Doxorubicin metabolic process,4,10,1.58e-06,5.96e-05,"AKR1B10,AKR1C3,AKR1C2,AKR1C1"
Process,GO:0060397,Growth hormone receptor signaling pathway via JAK-STAT,4,10,1.58e-06,5.96e-05,"PTPN1,JAK2,TYK2,JAK3"
Process,GO:0009314,Response to radiation,14,444,1.59e-06,5.97e-05,"MAPK14,POLB,EGFR,HMGCR,CDC25A,PRKDC,BACE1,DRD2,PTGS2,DRD3,MAPK8,CHEK1,OPRM1,NTRK1"
Process,GO:0006633,Fatty acid biosynthetic process,8,119,1.71e-06,6.37e-05,"CYP2C9,PTGES,PTGS1,PTGS2,ALOX5,AKR1C3,TBXAS1,CYP2D6"
Process,GO:0060429,Epithelium development,22,1069,1.78e-06,6.61e-05,"MAPK1,NR3C1,KDR,EGFR,CA2,PPARG,ADAM17,PRKDC,MET,PGR,PDE2A,PDE4D,CTSB,ABL1,AR,CA9,AKR1C3,AKR1C2,AKR1C1,JAK2,ESR1,NTRK1"
Process,GO:0009894,Regulation of catabolic process,21,988,1.92e-06,7.1e-05,"CYP51A1,CSNK2A1,MAPK14,MAPK3,KDR,CDK2,EGFR,ADRA2A,HMGCR,FABP1,MET,NOS2,HSP90AA1,SREBF2,PTPN1,ABL1,MAPK8,PPARA,IL6,PIK3CG,HTR2A"
Process,GO:0040008,Regulation of growth,17,671,2.14e-06,7.86e-05,"CSNK2A1,CYP27B1,MAPK14,SLC6A4,SLC6A3,EGFR,PPARG,F2,ADAM17,PPARD,ESR2,DRD2,ABL1,AR,RPS6KA3,G6PD,PPARA"
Process,GO:0060020,Bergmann glial cell differentiation,4,11,2.14e-06,7.86e-05,"MAPK1,MAPK3,ABL1,PTPN11"
Process,GO:0006937,Regulation of muscle contraction,9,167,2.15e-06,7.88e-05,"CHRM3,ADRA2A,HSP90AA1,PDE4D,PTGS2,TACR2,ADRA2C,CHRM2,PIK3CG"
Process,GO:0043536,Positive regulation of blood vessel endothelial cell migration,6,53,2.19e-06,7.99e-05,"KDR,PLG,ADAM17,PTGS2,ABL1,FGFR1"
Process,GO:1904892,Regulation of receptor signaling pathway via STAT,7,85,2.2e-06,8.01e-05,"PPARG,F2,PTPN2,JAK2,IL6,TYK2,JAK3"
Process,GO:0031669,Cellular response to nutrient levels,10,217,2.22e-06,8.05e-05,"MAPK1,MAPK3,SRD5A1,PPARG,GLUL,SREBF2,AKR1C3,MAPK8,PPARA,NR1H4"
Process,GO:0046889,Positive regulation of lipid biosynthetic process,7,86,2.37e-06,8.56e-05,"SREBF2,PTGS2,PPARA,HTR2A,NR1H4,NR1H3,NR1H2"
Process,GO:0045471,Response to ethanol,8,126,2.55e-06,9.21e-05,"POLB,SLC6A3,DRD2,GABBR1,G6PD,PPARA,TBXAS1,OPRM1"
Process,GO:0015909,Long-chain fatty acid transport,6,55,2.67e-06,9.61e-05,"FABP4,PPARG,ACE,FABP1,DRD2,DRD3"
Process,GO:0060191,Regulation of lipase activity,7,88,2.73e-06,9.81e-05,"EGFR,ABL1,FGFR1,ESR1,HTR2A,NR1H3,NR1H2"
Process,GO:0006954,Inflammatory response,15,538,2.89e-06,0.0001,"ADORA3,POLB,ADRA2A,F2,NOS2,PTGS1,PTGS2,ALOX5,PIK3CD,JAK2,IL6,OPRM1,PIK3CG,NR1H4,ADORA2A"
Process,GO:0030098,Lymphocyte differentiation,11,279,2.9e-06,0.0001,"FLT3,RORA,ADAM17,PTPN2,PRKDC,RORC,ABL1,PIK3CD,IL6,NTRK1,JAK3"
Process,GO:0030879,Mammary gland development,8,128,2.85e-06,0.0001,"MAPK1,NR3C1,SLC6A3,PGR,AR,JAK2,CYP19A1,ESR1"
Process,GO:0043951,Negative regulation of cAMP-mediated signaling,4,12,2.84e-06,0.0001,"PDE2A,PDE4D,PDE3A,OPRM1"
Process,GO:1900015,Regulation of cytokine production involved in inflammatory response,6,56,2.94e-06,0.0001,"MAPK14,F2,NOS2,ALOX5,PPARA,IL6"
Process,GO:0008406,Gonad development,10,226,3.14e-06,0.00011,"KDR,SRD5A1,ACE,PGR,AR,AKR1C3,CYP19A1,ESR1,NTRK1,SRD5A2"
Process,GO:0043535,Regulation of blood vessel endothelial cell migration,7,90,3.14e-06,0.00011,"KDR,PPARG,PLG,ADAM17,PTGS2,ABL1,FGFR1"
Process,GO:0002444,Myeloid leukocyte mediated immunity,6,58,3.55e-06,0.00012,"ACE,F2,ADAM17,PIK3CD,IL6,PIK3CG"
Process,GO:0009636,Response to toxic substance,10,229,3.51e-06,0.00012,"SLC6A4,SRD5A1,FABP1,PTGES,AKR1B10,PTGS1,DRD2,PTGS2,EPHX2,ABCB1"
Process,GO:0032309,Icosanoid secretion,5,31,3.33e-06,0.00012,"ACE,NOS2,DRD2,PTGS2,DRD3"
Process,GO:0050714,Positive regulation of protein secretion,8,131,3.36e-06,0.00012,"PPARG,ACHE,GLUL,PPARD,JAK2,NR1H4,ADORA2A,NR1H2"
Process,GO:0008219,Cell death,22,1118,3.64e-06,0.00013,"MAPK1,CSNK2A1,MAPK14,NR3C1,MAPK3,POLB,SIGMAR1,PPARD,PRKDC,HSP90AA1,PDE3A,TOP1,ABL1,RPS6KA3,JAK2,IL6,CHEK1,TOP2A,PIK3CG,NTRK1,HTR2A,ADORA2A"
Process,GO:0010745,Negative regulation of macrophage derived foam cell differentiation,4,13,3.7e-06,0.00013,"PPARG,PPARA,NR1H3,NR1H2"
Process,GO:0033604,Negative regulation of catecholamine secretion,4,13,3.7e-06,0.00013,"ADRA2A,DRD2,GABBR1,ADRA2C"
Process,GO:0045907,Positive regulation of vasoconstriction,5,32,3.83e-06,0.00013,"ACE,PTGS2,ABL1,TBXAS1,HTR2A"
Process,GO:0060627,Regulation of vesicle-mediated transport,15,551,3.84e-06,0.00013,"MAPK1,MAPK3,ADRA2A,PPARG,BACE1,CACNA1H,DRD2,PTPN1,ABL1,DRD3,CHRM2,HTR2A,NR1H3,ADORA2A,NR1H2"
Process,GO:0019725,Cellular homeostasis,16,628,4.07e-06,0.00014,"MAPK1,ATP12A,SLC6A2,MAPK3,CA2,ACE,F2,PLG,NOS2,DRD2,DRD3,HCRTR1,IL6,TBXAS1,HTR2A,NR1H4"
Process,GO:0046928,Regulation of neurotransmitter secretion,7,94,4.12e-06,0.00014,"ADRA2A,BACE1,DRD2,TACR2,CHRM2,HTR2A,ADORA2A"
Process,GO:0050806,Positive regulation of synaptic transmission,8,135,4.15e-06,0.00014,"MAPK1,CA2,GLUL,DRD2,PTGS2,TACR2,NTRK1,ADORA2A"
Process,GO:0046165,Alcohol biosynthetic process,7,95,4.4e-06,0.00015,"CYP51A1,CYP27B1,HMGCR,NPC1L1,CYP11B1,CACNA1H,G6PD"
Process,GO:0060416,Response to growth hormone,5,33,4.39e-06,0.00015,"SRD5A1,PTPN1,JAK2,TYK2,JAK3"
Process,GO:0006940,Regulation of smooth muscle contraction,6,61,4.65e-06,0.00016,"CHRM3,ADRA2A,PTGS2,TACR2,ADRA2C,CHRM2"
Process,GO:0009653,Anatomical structure morphogenesis,33,2229,4.75e-06,0.00016,"MAPK1,MAPK14,NR3C1,RORA,SLC6A4,MAPK3,KDR,POLB,SLC6A3,EGFR,CA2,ACE,GLUL,ADAM17,PRKDC,MET,PGR,CACNA1H,HSP90AA1,DRD2,PTGS2,ABL1,AR,CA9,CYP19A1,PPARA,IL6,FGFR1,ESR1,PIK3CG,NTRK1,ADORA2A,PTPN11"
Process,GO:0014061,Regulation of norepinephrine secretion,4,14,4.73e-06,0.00016,"ADORA3,ADRA2A,ADRA2C,ADORA2A"
Process,GO:0043405,Regulation of MAP kinase activity,9,185,4.78e-06,0.00016,"FLT3,EGFR,ADRA2A,PPARG,HMGCR,PTPN1,FGFR1,PIK3CG,HTR2A"
Process,GO:0045597,Positive regulation of cell differentiation,19,876,4.74e-06,0.00016,"CYP27B1,MAPK14,KDR,PPARG,ACE,PPARD,PRKDC,PDE3A,DRD2,PTGS2,ABL1,AR,RPS6KA3,JAK2,IL6,ADRA2C,FGFR1,OPRM1,HTR2A"
Process,GO:0061180,Mammary gland epithelium development,6,61,4.65e-06,0.00016,"MAPK1,NR3C1,PGR,AR,JAK2,ESR1"
Process,GO:0007200,Phospholipase C-activating G protein-coupled receptor signaling pathway,7,97,5.01e-06,0.00017,"ADRA2A,DRD2,DRD3,OPRM1,CHRM2,ESR1,HTR2A"
Process,GO:0032368,Regulation of lipid transport,8,139,5.09e-06,0.00017,"PPARG,PTGES,SREBF2,CYP19A1,PPARA,NR1H3,PTPN11,NR1H2"
Process,GO:0050877,Nervous system process,25,1423,5.19e-06,0.00017,"MAPK1,CHRM3,SLC6A4,MAPK3,BCHE,SLC6A3,EGFR,ADRA2A,HMGCR,ACE,BACE1,CACNA1H,HSP90AA1,PTGES,DRD2,PTGS2,ABL1,TACR2,GABBR1,DRD3,OPRM1,CHRM2,NTRK1,HTR2A,ADORA2A"
Process,GO:0071375,Cellular response to peptide hormone stimulus,10,240,5.23e-06,0.00017,"SRD5A1,CA2,PPARG,CYP11B1,PTPN2,PRKDC,PTPN1,JAK2,TYK2,JAK3"
Process,GO:1902893,Regulation of miRNA transcription,6,62,5.08e-06,0.00017,"NR3C1,PPARG,PPARD,SREBF2,PPARA,NR1H2"
Process,GO:0051094,Positive regulation of developmental process,24,1332,5.45e-06,0.00018,"CYP27B1,MAPK14,KDR,SLC6A3,PPARG,ACE,PPARD,PRKDC,PDE3A,DRD2,PTGS2,ABL1,ALOX5,AR,PIK3CD,RPS6KA3,JAK2,IL6,ADRA2C,FGFR1,OPRM1,NTRK1,HTR2A,NR1H4"
Process,GO:0070542,Response to fatty acid,6,63,5.53e-06,0.00018,"PTGS2,AKR1C3,AKR1C2,AKR1C1,TBXAS1,NR1H4"
Process,GO:0046777,Protein autophosphorylation,9,189,5.64e-06,0.00019,"FLT3,MAPK3,KDR,EGFR,DYRK1A,ABL1,JAK2,FGFR1,NTRK1"
Process,GO:1901653,Cellular response to peptide,11,302,6.01e-06,0.0002,"SRD5A1,CA2,PPARG,CYP11B1,PTPN2,PRKDC,BACE1,PTPN1,JAK2,TYK2,JAK3"
Process,GO:2000300,Regulation of synaptic vesicle exocytosis,6,64,6.02e-06,0.0002,"ADRA2A,BACE1,DRD2,CHRM2,HTR2A,ADORA2A"
Process,GO:0071276,Cellular response to cadmium ion,5,36,6.45e-06,0.00021,"MAPK1,MAPK3,EGFR,AKR1C3,MAPK8"
Process,GO:0071384,Cellular response to corticosteroid stimulus,6,65,6.54e-06,0.00021,"NR3C1,FLT3,SRD5A1,ACE,AKR1C3,JAK2"
Process,GO:0018105,Peptidyl-serine phosphorylation,9,193,6.63e-06,0.00022,"MAPK1,CSNK2A1,MAPK14,CDK2,PRKDC,DYRK1A,TOP1,RPS6KA3,MAPK8"
Process,GO:0031326,Regulation of cellular biosynthetic process,49,4143,6.84e-06,0.00022,"MAPK1,CYP27B1,MAPK14,NR3C1,ADORA3,FABP4,RORA,KCNH2,MAPK3,CDK2,EGFR,PPARG,PPARD,PTPN2,PRKDC,MET,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,ESR2,NR3C2,SREBF2,DRD2,PTGS2,NR1I3,ABL1,AR,RPS6KA3,AKR1C3,JAK2,DRD3,MAPK8,PPARA,IL6,CHEK1,OPRM1,ESR1,TOP2A,NTRK1,JAK3,HTR2A,NR1H4,NR1H3,ADORA2A,NR1H2"
Process,GO:0007584,Response to nutrient,8,147,7.53e-06,0.00024,"CYP27B1,SLC6A4,BCHE,PPARG,PPARD,PTGS2,AKR1C3,NR1H4"
Process,GO:0042593,Glucose homeostasis,9,196,7.47e-06,0.00024,"ADRA2A,PPARG,ACE,CYP11B1,PTPN2,ALOX5,IL6,NR1H4,PTPN11"
Process,GO:0046321,Positive regulation of fatty acid oxidation,4,16,7.41e-06,0.00024,"PPARG,FABP1,PPARD,PPARA"
Process,GO:0022612,Gland morphogenesis,7,104,7.71e-06,0.00025,"NR3C1,POLB,EGFR,PGR,AR,IL6,ESR1"
Process,GO:0060193,Positive regulation of lipase activity,6,67,7.69e-06,0.00025,"EGFR,FGFR1,ESR1,HTR2A,NR1H3,NR1H2"
Process,GO:0043271,Negative regulation of ion transport,8,149,8.27e-06,0.00026,"KCNH2,ADRA2A,ACE,DRD2,PTGS2,GABBR1,DRD3,HTR2A"
Process,GO:0007586,Digestion,7,106,8.68e-06,0.00028,"CHRM3,ADRA2A,NPC1L1,FABP1,AKR1C2,AKR1C1,DRD3"
Process,GO:1904035,Regulation of epithelial cell apoptotic process,7,106,8.68e-06,0.00028,"KDR,ABL1,AKR1C3,JAK2,PPARA,IL6,ESR1"
Process,GO:0007204,Positive regulation of cytosolic calcium ion concentration,9,201,9.07e-06,0.00029,"DRD2,ABL1,JAK2,DRD3,OPRM1,ESR1,PIK3CG,JAK3,HTR2A"
Process,GO:0008016,Regulation of heart contraction,9,201,9.07e-06,0.00029,"ADORA3,KCNH2,CACNA1H,HSP90AA1,PDE4D,DRD2,JAK2,CHRM2,PIK3CG"
Process,GO:0008210,Estrogen metabolic process,5,39,9.2e-06,0.00029,"HSD17B1,CYP2C9,UGT2B7,CYP19A1,CYP2D6"
Process,GO:0071395,Cellular response to jasmonic acid stimulus,3,4,9.03e-06,0.00029,"AKR1C3,AKR1C2,AKR1C1"
Process,GO:0043627,Response to estrogen,6,71,1.05e-05,0.00033,"CYP27B1,SRD5A1,PPARG,HSP90AA1,AR,ESR1"
Process,GO:0071900,Regulation of protein serine/threonine kinase activity,12,386,1.06e-05,0.00033,"FLT3,EGFR,ADRA2A,PPARG,HMGCR,CDC25A,ADAM17,PTPN1,ABL1,FGFR1,PIK3CG,HTR2A"
Process,GO:0030540,Female genitalia development,4,18,1.11e-05,0.00034,"SRD5A1,CYP19A1,ESR1,SRD5A2"
Process,GO:0042594,Response to starvation,9,206,1.1e-05,0.00034,"MAPK1,MAPK3,SRD5A1,PPARG,GLUL,SREBF2,AKR1C3,MAPK8,PPARA"
Process,GO:0032922,Circadian regulation of gene expression,6,72,1.13e-05,0.00035,"RORA,RORC,TOP1,DRD2,DRD3,PPARA"
Process,GO:0045596,Negative regulation of cell differentiation,16,685,1.18e-05,0.00037,"MAPK1,RORA,SLC6A4,EGFR,PPARG,F2,PPARD,PTPN2,DRD3,G6PD,PPARA,IL6,JAK3,NR1H3,PTPN11,NR1H2"
Process,GO:0022600,Digestive system process,6,73,1.22e-05,0.00038,"CHRM3,ADRA2A,NPC1L1,FABP1,AKR1C1,DRD3"
Process,GO:0043086,Negative regulation of catalytic activity,17,771,1.28e-05,0.00039,"CSNK2A1,CYP27B1,FABP4,PPARG,HMGCR,FABP1,PTPN2,SERPINA6,CTSB,DRD2,PTGS2,PTPN1,ABL1,GABBR1,RPS6KA3,DRD3,ADORA2A"
Process,GO:1900274,Regulation of phospholipase C activity,5,42,1.28e-05,0.00039,"EGFR,ABL1,FGFR1,ESR1,HTR2A"
Process,GO:0035813,Regulation of renal sodium excretion,4,19,1.33e-05,0.00041,"ACE,DRD2,DRD3,ADORA2A"
Process,GO:0099565,"Chemical synaptic transmission, postsynaptic",7,114,1.36e-05,0.00042,"CHRM3,DRD2,GABBR1,DRD3,OPRM1,CHRM2,ADORA2A"
Process,GO:0001960,Negative regulation of cytokine-mediated signaling pathway,6,75,1.41e-05,0.00043,"PPARG,PTPN2,IL6,NR1H4,NR1H3,NR1H2"
Process,GO:0045429,Positive regulation of nitric oxide biosynthetic process,5,43,1.42e-05,0.00043,"HSP90AA1,PTGS2,JAK2,OPRM1,ESR1"
Process,GO:0098926,Postsynaptic signal transduction,5,43,1.42e-05,0.00043,"CHRM3,ACHE,JAK2,OPRM1,CHRM2"
Process,GO:0032811,Negative regulation of epinephrine secretion,3,5,1.44e-05,0.00044,"ADRA2A,GABBR1,ADRA2C"
Process,GO:0034650,Cortisol metabolic process,3,5,1.44e-05,0.00044,"CYP11B1,HSD11B2,CACNA1H"
Process,GO:0035624,Receptor transactivation,3,5,1.44e-05,0.00044,"ADRA2A,ADAM17,ADRA2C"
Process,GO:0043406,Positive regulation of MAP kinase activity,7,116,1.51e-05,0.00046,"FLT3,EGFR,ADRA2A,PTPN1,FGFR1,PIK3CG,HTR2A"
Process,GO:0043523,Regulation of neuron apoptotic process,9,216,1.58e-05,0.00047,"NR3C1,KDR,SIGMAR1,BACE1,ABL1,JAK2,G6PD,NTRK1,ADORA2A"
